epoch,val_loss,val_acc
1,2.7082464694976807,0.0
2,1.8983248472213745,0.3333333333333333
3,1.9817174673080444,0.3333333333333333
4,2.1115050315856934,0.3333333333333333
5,2.392287254333496,0.3333333333333333
6,3.3180453777313232,0.3333333333333333
7,4.565086364746094,0.3333333333333333
8,5.07564115524292,0.3333333333333333
9,6.5601372718811035,0.3333333333333333
10,7.205289363861084,0.3333333333333333
11,7.4343132972717285,0.3333333333333333
12,7.512018203735352,0.3333333333333333
13,7.52106237411499,0.3333333333333333
14,7.476369857788086,0.3333333333333333
15,7.375572681427002,0.3333333333333333
16,7.2630767822265625,0.3333333333333333
17,7.154089450836182,0.3333333333333333
18,7.065977096557617,0.3333333333333333
19,6.9801154136657715,0.3333333333333333
20,6.896568775177002,0.3333333333333333
21,6.819433689117432,0.3333333333333333
22,6.756828308105469,0.3333333333333333
23,6.695411682128906,0.3333333333333333
24,6.648769378662109,0.3333333333333333
25,6.6054511070251465,0.3333333333333333
26,6.558854579925537,0.3333333333333333
27,6.532007694244385,0.3333333333333333
28,6.503716945648193,0.3333333333333333
29,6.467462062835693,0.3333333333333333
30,6.463710784912109,0.3333333333333333
31,6.441028118133545,0.3333333333333333
32,6.414613246917725,0.3333333333333333
33,6.394321918487549,0.3333333333333333
34,6.388272762298584,0.3333333333333333
35,6.349259853363037,0.3333333333333333
36,6.316341400146484,0.3333333333333333
37,6.305943965911865,0.3333333333333333
38,6.287870407104492,0.3333333333333333
39,6.30290412902832,0.3333333333333333
40,6.302714824676514,0.3333333333333333
41,6.288684844970703,0.3333333333333333
42,6.274477481842041,0.3333333333333333
43,6.278526782989502,0.3333333333333333
44,6.268634796142578,0.3333333333333333
45,6.259771347045898,0.3333333333333333
46,6.243904113769531,0.3333333333333333
47,6.2442779541015625,0.3333333333333333
48,6.2556281089782715,0.3333333333333333
49,6.244541168212891,0.3333333333333333
50,6.237478733062744,0.3333333333333333
51,6.230752468109131,0.3333333333333333
52,6.2368011474609375,0.3333333333333333
53,6.239861011505127,0.3333333333333333
54,6.213874340057373,0.3333333333333333
55,6.212408065795898,0.3333333333333333
56,6.19593620300293,0.3333333333333333
57,6.180367946624756,0.3333333333333333
58,6.186204433441162,0.3333333333333333
59,6.1918625831604,0.3333333333333333
60,6.202072620391846,0.3333333333333333
